response_time,sleepMs
36.44,50
8.64,50
8.19,50
11.88,50
38.31,50
8.59,50
10.34,50
8.14,50
64.58,50
148.19,50
246.84,50
148.79,50
148.87,50
145.97,50
152.94,50
146.91,50
145.27,50
147.89,50
148.71,50
152.28,50
240.36,50
148.09,50
145.28,50
146.61,50
151.40,50
248.04,50
46.14,50
148.96,50
151.24,50
347.65,50
247.54,50
143.77,50
151.57,50
249.18,50
143.55,50
149.02,50
150.42,50
149.43,50
147.81,50
149.51,50
245.36,50
150.69,50
144.98,50
248.38,50
144.71,50
252.21,50
247.51,50
51.63,50
149.13,50
231.83,50
148.01,50
149.34,50
250.15,50
244.65,50
148.18,50
246.57,50
232.03,50
247.97,50
48.76,50
147.18,50
246.29,50
246.17,50
46.75,50
147.86,50
350.74,50
149.19,50
47.84,50
145.99,50
145.75,50
145.45,50
146.67,50
244.92,50
149.78,50
246.57,50
144.96,50
245.76,50
145.90,50
147.32,50
144.65,50
248.19,50
248.84,50
148.47,50
150.43,50
149.07,50
249.25,50
250.74,50
144.72,50
246.98,50
146.99,50
252.20,50
243.72,50
248.82,50
249.19,50
148.57,50
251.11,50
149.51,50
147.62,50
250.65,50
146.76,50
148.91,50
227.27,40
165.90,40
147.52,40
157.66,40
159.97,40
156.93,40
255.67,40
154.92,40
155.24,40
155.39,40
155.68,40
159.91,40
158.11,40
157.08,40
121.62,40
157.50,40
155.09,40
161.20,40
254.91,40
253.51,40
159.93,40
158.80,40
158.05,40
157.90,40
344.31,40
56.79,40
152.90,40
158.19,40
159.65,40
157.35,40
158.57,40
158.08,40
135.02,40
258.85,40
64.96,40
251.44,40
157.97,40
159.89,40
158.97,40
157.29,40
152.65,40
158.24,40
157.11,40
158.41,40
259.85,40
156.85,40
261.27,40
160.34,40
157.54,40
158.54,40
160.92,40
255.06,40
160.63,40
156.64,40
257.38,40
156.94,40
257.27,40
54.87,40
159.86,40
158.65,40
153.50,40
154.82,40
155.73,40
160.69,40
156.20,40
257.50,40
156.29,40
158.00,40
157.62,40
156.20,40
258.30,40
156.83,40
356.89,40
154.20,40
158.22,40
160.03,40
155.57,40
260.16,40
63.72,40
155.36,40
256.02,40
60.70,40
150.85,40
258.54,40
460.13,40
62.05,40
256.74,40
58.04,40
158.35,40
259.48,40
57.96,40
161.86,40
157.99,40
156.20,40
157.43,40
259.21,40
60.08,40
158.83,40
157.15,40
157.64,40
159.97,30
165.95,30
167.47,30
166.18,30
170.55,30
166.96,30
170.99,30
168.13,30
166.03,30
169.20,30
165.76,30
166.35,30
168.93,30
169.70,30
169.29,30
165.86,30
170.60,30
166.86,30
169.93,30
167.57,30
263.98,30
